,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9
true_0,78.41785714285714,0.0,0.0,5.853571428571429,1.9321428571428574,0.019642857142857142,0.0,11.73392857142857,2.0428571428571427,0.0
true_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
true_2,14.193548387096774,0.0,83.22580645161291,0.0,0.0,0.0,0.0,1.935483870967742,0.0,0.6451612903225806
true_3,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
true_4,12.96137339055794,0.0,0.0,0.4169221336603311,86.62170447578173,0.0,0.0,0.0,0.0,0.0
true_5,9.58904109589041,0.0,0.0,38.81278538812785,0.0,0.45662100456621,0.0,0.0,29.22374429223744,21.91780821917808
true_6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
true_7,12.833216253188892,0.0,0.0,0.0,0.0,0.0,0.0,87.1667837468111,0.0,0.0
true_8,1.9452799068594158,0.0,0.0,45.085863975938686,0.0,0.0,0.0,0.06791500921703697,46.900164936450956,6.000776171533909
true_9,95.5249569707401,0.0,0.0,0.0,0.0,0.0,0.0,3.7865748709122204,0.6884681583476765,0.0
