,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9
true_0,77.02857142857142,0.0,3.2482142857142855,0.5410714285714286,1.8464285714285715,0.0035714285714285718,0.0,12.105357142857143,5.226785714285715,0.0
true_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
true_2,10.64516129032258,0.0,83.87096774193549,0.0,0.0,0.0,0.0,5.161290322580645,0.3225806451612903,0.0
true_3,0.0,0.0,0.0,99.65089216446859,0.0,0.0,0.0,0.0,0.0,0.3491078355314197
true_4,6.548129981606376,0.01226241569589209,0.0,9.331698344573882,84.10790925812385,0.0,0.0,0.0,0.0,0.0
true_5,66.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333
true_6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
true_7,11.235996598513697,0.0,0.0,0.0,0.0,0.0,0.0,88.7640034014863,0.0,0.0
true_8,0.2716600368681479,0.0,0.004851072086931212,0.0,0.0,0.0,0.0,0.0,99.72348889104492,0.0
true_9,99.31153184165233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6884681583476765,0.0
