t vw vv vT
1.360812664031982422e+01 5.552581045776605606e-03 9.999845623970031738e-01 9.999999403953552246e-01
1.323872947692871094e+01 5.147931631654500961e-03 9.999867677688598633e-01 1.000000000000000000e+00
1.313171577453613281e+01 5.271877627819776535e-03 9.999861121177673340e-01 1.000000000000000000e+00
1.240874290466308594e+01 5.440392065793275833e-03 9.999852180480957031e-01 1.000000000000000000e+00
1.198343181610107422e+01 5.373960826545953751e-03 9.999856352806091309e-01 1.000000000000000000e+00
1.193563747406005859e+01 5.838085897266864777e-03 9.999828934669494629e-01 9.999999403953552246e-01
1.150847244262695312e+01 5.726105067878961563e-03 9.999835491180419922e-01 9.999999403953552246e-01
1.128216457366943359e+01 5.891145206987857819e-03 9.999826550483703613e-01 1.000000000000000000e+00
1.112606239318847656e+01 5.791048053652048111e-03 9.999831318855285645e-01 9.999998807907104492e-01
1.073226642608642578e+01 5.690579302608966827e-03 9.999837875366210938e-01 9.999999403953552246e-01
1.062148189544677734e+01 6.074322387576103210e-03 9.999815225601196289e-01 9.999999403953552246e-01
1.035046768188476562e+01 6.133399903774261475e-03 9.999812841415405273e-01 1.000000119209289551e+00
9.852195739746093750e+00 5.949209909886121750e-03 9.999821782112121582e-01 9.999998807907104492e-01
9.691590309143066406e+00 6.153753958642482758e-03 9.999811053276062012e-01 1.000000000000000000e+00
9.348061561584472656e+00 6.368882022798061371e-03 9.999799132347106934e-01 1.000000119209289551e+00
9.265563964843750000e+00 6.528237368911504745e-03 9.999787211418151855e-01 1.000000000000000000e+00
8.963363647460937500e+00 6.809316575527191162e-03 9.999767541885375977e-01 9.999999403953552246e-01
8.818301200866699219e+00 6.229735910892486572e-03 9.999805688858032227e-01 9.999999403953552246e-01
8.651079177856445312e+00 6.615149788558483124e-03 9.999780654907226562e-01 9.999999403953552246e-01
8.552860260009765625e+00 6.668028887361288071e-03 9.999778866767883301e-01 1.000000119209289551e+00
8.314925193786621094e+00 6.911929696798324585e-03 9.999760389328002930e-01 9.999999403953552246e-01
8.248992919921875000e+00 6.842660252004861832e-03 9.999765157699584961e-01 9.999999403953552246e-01
8.194689750671386719e+00 6.375229917466640472e-03 9.999796152114868164e-01 9.999999403953552246e-01
