t dd no-dd
2.000000000000000000e+00 1.159823703765869141e+01 1.401949596405029297e+01
2.000000000000000000e+00 1.159823703765869141e+01 1.401949596405029297e+01
2.000000000000000000e+00 1.159823703765869141e+01 1.401949596405029297e+01
2.000000000000000000e+00 1.159823703765869141e+01 1.401949596405029297e+01
2.000000000000000000e+00 1.159823703765869141e+01 1.401949596405029297e+01
2.000000000000000000e+00 1.159823703765869141e+01 1.401949596405029297e+01
2.000000000000000000e+00 1.159823703765869141e+01 1.401949596405029297e+01
3.000000000000000000e+00 9.012487411499023438e+00 1.314870071411132812e+01
3.000000000000000000e+00 9.012487411499023438e+00 1.314870071411132812e+01
3.000000000000000000e+00 9.012487411499023438e+00 1.314870071411132812e+01
3.000000000000000000e+00 9.012487411499023438e+00 1.314870071411132812e+01
3.000000000000000000e+00 9.012487411499023438e+00 1.314870071411132812e+01
3.000000000000000000e+00 9.012487411499023438e+00 1.314870071411132812e+01
3.000000000000000000e+00 9.012487411499023438e+00 1.314870071411132812e+01
3.000000000000000000e+00 9.012487411499023438e+00 1.314870071411132812e+01
3.000000000000000000e+00 9.012487411499023438e+00 1.314870071411132812e+01
3.000000000000000000e+00 9.012487411499023438e+00 1.314870071411132812e+01
3.000000000000000000e+00 9.012487411499023438e+00 1.314870071411132812e+01
3.000000000000000000e+00 9.012487411499023438e+00 1.314870071411132812e+01
3.000000000000000000e+00 9.012487411499023438e+00 1.314870071411132812e+01
3.000000000000000000e+00 9.012487411499023438e+00 1.314870071411132812e+01
3.000000000000000000e+00 9.012487411499023438e+00 1.314870071411132812e+01
3.000000000000000000e+00 9.012487411499023438e+00 1.314870071411132812e+01
3.000000000000000000e+00 9.012487411499023438e+00 1.314870071411132812e+01
3.000000000000000000e+00 9.012487411499023438e+00 1.314870071411132812e+01
3.000000000000000000e+00 9.012487411499023438e+00 1.314870071411132812e+01
4.000000000000000000e+00 8.141271591186523438e+00 1.238788795471191406e+01
4.000000000000000000e+00 8.141271591186523438e+00 1.238788795471191406e+01
4.000000000000000000e+00 8.141271591186523438e+00 1.238788795471191406e+01
4.000000000000000000e+00 8.141271591186523438e+00 1.238788795471191406e+01
4.000000000000000000e+00 8.141271591186523438e+00 1.238788795471191406e+01
4.000000000000000000e+00 8.141271591186523438e+00 1.238788795471191406e+01
4.000000000000000000e+00 8.141271591186523438e+00 1.238788795471191406e+01
4.000000000000000000e+00 8.141271591186523438e+00 1.238788795471191406e+01
4.000000000000000000e+00 8.141271591186523438e+00 1.238788795471191406e+01
4.000000000000000000e+00 8.141271591186523438e+00 1.238788795471191406e+01
4.000000000000000000e+00 8.141271591186523438e+00 1.238788795471191406e+01
4.000000000000000000e+00 8.141271591186523438e+00 1.238788795471191406e+01
4.000000000000000000e+00 8.141271591186523438e+00 1.238788795471191406e+01
4.000000000000000000e+00 8.141271591186523438e+00 1.238788795471191406e+01
5.000000000000000000e+00 7.562796115875244141e+00 1.173308753967285156e+01
5.000000000000000000e+00 7.562796115875244141e+00 1.173308753967285156e+01
5.000000000000000000e+00 7.562796115875244141e+00 1.173308753967285156e+01
5.000000000000000000e+00 7.562796115875244141e+00 1.173308753967285156e+01
5.000000000000000000e+00 7.562796115875244141e+00 1.173308753967285156e+01
5.000000000000000000e+00 7.562796115875244141e+00 1.173308753967285156e+01
5.000000000000000000e+00 7.562796115875244141e+00 1.173308753967285156e+01
5.000000000000000000e+00 7.562796115875244141e+00 1.173308753967285156e+01
5.000000000000000000e+00 7.562796115875244141e+00 1.173308753967285156e+01
5.000000000000000000e+00 7.562796115875244141e+00 1.173308753967285156e+01
5.000000000000000000e+00 7.562796115875244141e+00 1.173308753967285156e+01
5.000000000000000000e+00 7.562796115875244141e+00 1.173308753967285156e+01
6.000000000000000000e+00 7.364192962646484375e+00 1.116018199920654297e+01
6.000000000000000000e+00 7.364192962646484375e+00 1.116018199920654297e+01
6.000000000000000000e+00 7.364192962646484375e+00 1.116018199920654297e+01
6.000000000000000000e+00 7.364192962646484375e+00 1.116018199920654297e+01
6.000000000000000000e+00 7.364192962646484375e+00 1.116018199920654297e+01
6.000000000000000000e+00 7.364192962646484375e+00 1.116018199920654297e+01
6.000000000000000000e+00 7.364192962646484375e+00 1.116018199920654297e+01
6.000000000000000000e+00 7.364192962646484375e+00 1.116018199920654297e+01
6.000000000000000000e+00 7.364192962646484375e+00 1.116018199920654297e+01
6.000000000000000000e+00 7.364192962646484375e+00 1.116018199920654297e+01
7.000000000000000000e+00 7.085837364196777344e+00 1.065865993499755859e+01
7.000000000000000000e+00 7.085837364196777344e+00 1.065865993499755859e+01
7.000000000000000000e+00 7.085837364196777344e+00 1.065865993499755859e+01
7.000000000000000000e+00 7.085837364196777344e+00 1.065865993499755859e+01
7.000000000000000000e+00 7.085837364196777344e+00 1.065865993499755859e+01
7.000000000000000000e+00 7.085837364196777344e+00 1.065865993499755859e+01
7.000000000000000000e+00 7.085837364196777344e+00 1.065865993499755859e+01
7.000000000000000000e+00 7.085837364196777344e+00 1.065865993499755859e+01
7.000000000000000000e+00 7.085837364196777344e+00 1.065865993499755859e+01
8.000000000000000000e+00 7.049571514129638672e+00 1.021807765960693359e+01
8.000000000000000000e+00 7.049571514129638672e+00 1.021807765960693359e+01
