epoch,sgd_loss,mini_sgd_loss
1,0.15624464218692685,0.018132561744941676
2,0.027048268656432416,0.012504357985826612
3,1.079592028416317e-06,0.00962343490843179
4,9.755725639598032e-07,0.007699397526282169
5,9.010897148321824e-07,0.006362497950936978
6,8.446426440310803e-07,0.005400002242626431
7,8.00149175174383e-07,0.0046893696997419845
8,7.640313051824896e-07,0.004141825351153669
9,7.340235005464436e-07,0.0037102301379703466
10,7.085407712035586e-07,0.0033613031875111858
11,6.866355089671895e-07,0.0030722682744962516
12,6.675127862559309e-07,0.0028302720228915684
13,6.506253909193402e-07,0.0026236603817595804
14,6.355707412947767e-07,0.0024462595691181707
15,6.220091236538614e-07,0.002291537552388014
16,6.097413575524095e-07,0.002154603794823613
17,5.985459718155625e-07,0.0020345261813468998
18,5.882645182649252e-07,0.0019272424540398945
19,5.787855829575147e-07,0.0018297157542900098
20,5.69993418854404e-07,0.0017422837407173625
