epoch,train_loss,val_loss,roc_auc,epoch_time
1,0.2124533894164896,0.4234614748290254,0.6404339555681975,1502.1493768692017
2,0.20121094762913633,0.4085790054020235,0.6591803684193349,1484.8008069992065
3,0.19250017110888884,0.4191681976288052,0.660977730501714,1489.0859277248383
4,0.1859672960686071,0.42456351257790503,0.6602212844476794,1490.9368033409119
5,0.18107896538267773,0.46050938712731143,0.6588650690497836,1489.342518568039
6,0.1772579978001056,0.44766772703290436,0.6572035064225498,1496.2782669067383
7,0.1735286781303532,0.4579454819670056,0.6572985521415142,1494.1556646823883
8,0.17173251963867325,0.41464725754130805,0.6698864249527176,1493.2196044921875
9,0.1705210855312361,0.430930741741664,0.6620064704478981,1492.1790211200714
10,0.1689448660781422,0.46097967241892485,0.6526856239555465,1494.1203558444977
11,0.1675590073838233,0.45286199687620565,0.6614523197132272,1493.705440044403
12,0.1671446224429567,0.43178864945210305,0.6597013546197196,1510.4589989185333
13,0.16746491287386625,0.4506029110689509,0.6525489905221711,1536.2544305324554
14,0.16475473812577973,0.47051236363874993,0.6521339751555661,1544.1026911735535
15,0.16575895021864964,0.47501546089062135,0.6548129356250536,1558.8354985713959
16,0.1649874200599197,0.4762502911162129,0.6496861378529319,1555.5351078510284
17,0.16438318386969,0.48590253129348915,0.644234366563789,1539.5530574321747
18,0.1648905974993274,0.49187489414478874,0.6452538493516181,1577.3468556404114
19,0.16360428622488649,0.4889688051872222,0.6471470355326432,1557.4400732517242
20,0.16369518994730017,0.47472612879005754,0.6467829484366271,1583.9277970790863
21,0.16301310171831165,0.4556290505983623,0.646127135755699,1548.6181559562683
22,0.16341519901833687,0.5023001379661416,0.6510059084021694,1641.780330657959
23,0.16345853069582,0.4938902928232585,0.6473707640925225,1584.3108179569244
